gvkey,fyear,cl_process_N,cl_product_N,cl_N,cl_pcs,cl_pdt,pt_pure_pcs_CT3,pt_pure_pdt_CT3,cl_pcs_shr,pt_pcs_pure_shr_CT3,cl_pcs_pos,cl_pdt_pos,pt_pure_pcs_CT3_pos,pt_pure_pdt_CT3_pos,logstyrpat,L1log1pspat,invout,dispinv
1011,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.9172549,0.0,0,0
1011,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8128321,0.0,0,0
1011,1993,0.0,12.00000011920929,12.00000011920929,0.0,2.5649493,0.0,2.0794415,0.0,0.0,0.0,1.0,0.0,1.0,1.6999007,0.0,0,0
1011,1994,3.0,20.0,23.0,1.3862944,3.0445225,0.0,0.0,0.13043478,,1.0,1.0,0.0,0.0,1.6801455,0.6931472,0,0
1012,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0932348,1.3351984,0,0
1012,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.652923,1.2180643,0,0
1012,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.5040774,1.1064289,0,0
1012,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.5339304,1.0006357,0,0
1012,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.4053426,0.9009776,0,0
1012,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.3350011,0.8076838,0,0
1012,1985,8.0,0.0,8.0,2.1972246,0.0,0.6931472,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.4816046,0.72090894,0,0
1012,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.2417132,1.0639712,0,0
1012,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8495791,0.960567,0,0
1012,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0600235,0.8633966,0,0
1012,1989,9.0,11.0,20.0,2.3025851,2.4849067,0.0,0.0,0.45,,1.0,1.0,0.0,0.0,2.1202636,0.7726609,0,0
1013,1980,0.0,57.0,57.0,0.0,4.060443,0.0,1.609438,0.0,0.0,0.0,1.0,0.0,1.0,1.7469089,2.1760824,0,0
1013,1981,0.0,31.0,31.0,0.0,3.465736,0.0,1.7917595,0.0,0.0,0.0,1.0,0.0,1.0,1.7171808,2.3646166,0,0
1013,1982,0.0,34.0,34.0,0.0,3.5553482,0.0,2.4849067,0.0,0.0,0.0,1.0,0.0,1.0,1.7071587,2.415375,0,0
1013,1983,0.0,67.0,67.0,0.0,4.2195077,0.0,2.3025851,0.0,0.0,0.0,1.0,0.0,1.0,1.5672923,2.5388322,0,0
1013,1984,2.0,61.0,63.0,1.0986123,4.1271343,0.0,2.9957323,0.031746034,0.0,1.0,1.0,0.0,1.0,1.5988559,2.7023768,0,0
1013,1985,3.0,106.0,109.0,1.3862944,4.6728287,0.0,2.6390574,0.027522936,0.0,1.0,1.0,0.0,1.0,1.5859765,3.036292,0,0
1013,1986,2.0,119.0,121.0,1.0986123,4.787492,0.0,3.0910425,0.016528925,0.0,1.0,1.0,0.0,1.0,1.6135112,3.2904031,0,0
